time_stamp,humidity,temperature,pressure,voc,pm2.5_alt,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count
1716246000,62.6,82.0,975.556,83.284,31.0,31.0,7436.483,2143.002,287.42999999999995,32.25,7.084
1716053400,64.0,82.0,975.31,131.048,17.3,17.3,4096.017,1184.1460000000002,169.904,24.19,7.827999999999999
1714775400,65.0,82.0,975.588,67.192,10.8,10.8,2376.2470000000003,685.827,112.157,14.71,5.668
1713221400,65.8,82.0,976.542,71.412,18.2,18.2,4372.816,1268.556,160.733,12.203,2.531
1713218400,66.0,82.0,976.072,94.07,31.1,31.1,7960.319,2291.447,252.788,18.358,3.073
1716671400,62.2,82.0,976.436,64.9,8.5,8.5,2184.974,627.511,68.911,4.470000000000001,1.868
1715467800,63.8,82.0,977.092,141.734,58.4,58.4,12642.053,3710.704,591.7239999999999,61.396,16.699
1712097000,69.0,82.0,975.584,88.168,46.5,46.5,10292.115,3013.294,455.082,41.466,6.917
1714684200,64.6,82.0,974.194,91.614,16.4,16.4,3342.518,984.751,191.163,32.7,12.106
1714836000,62.6,82.0,976.146,68.58,18.0,18.0,3775.569,1102.008,196.372,26.496,8.138000000000002
1716923400,63.2,82.0,974.608,90.192,55.6,55.6,10752.693,3192.9440000000004,627.486,72.94200000000001,18.051
1716937200,64.8,82.0,975.908,99.204,98.9,98.9,18641.432,5560.1939999999995,1125.55,121.746,36.048
1715632800,63.2,82.0,975.266,58.502,47.4,47.4,8683.698,2588.48,585.991,90.674,31.991
1715630400,64.0,82.0,975.342,59.008,51.7,51.7,9292.308,2782.383,666.374,119.421,49.031000000000006
1715631000,63.2,82.0,975.328,57.97,52.1,52.1,9361.079,2798.3500000000004,668.069,115.564,45.885
1715292600,64.0,82.0,976.068,67.888,31.3,31.3,7193.348,2097.0429999999997,304.207,35.501000000000005,8.695
1715289000,64.0,82.0,975.918,52.128,22.3,22.3,4817.32,1411.964,236.276,32.004000000000005,9.775
1716231600,62.2,82.0,974.758,77.112,30.8,30.8,6403.376,1876.363,342.91499999999996,51.289,15.164
1712445000,68.8,82.0,973.052,135.078,30.2,30.2,6856.592000000001,1994.898,296.565,32.817,7.231
1715108400,62.2,82.0,975.456,71.044,43.8,43.8,8612.782,2556.3379999999997,476.971,47.189,10.086
1716149400,63.2,82.0,973.81,147.28,6.0,6.0,1424.852,411.82,56.095,6.289,2.743
1713471600,67.2,82.0,973.286,54.09,3.1,3.1,776.392,224.786,27.273,3.161,1.398
1716315600,62.4,82.0,974.836,75.862,19.7,19.7,4137.34,1213.63,207.404,23.161,7.228
1716332400,63.0,82.0,975.63,72.392,74.2,74.2,15151.009,4471.829,807.216,96.744,27.796
1716330600,63.2,82.0,975.224,69.268,80.4,80.4,16253.886,4824.863,868.4839999999999,95.239,29.094
1712785800,69.2,82.0,974.896,143.21,31.4,31.4,6746.638,1961.06,313.214,25.587,4.681
1712094600,69.6,82.0,975.138,78.03,16.6,16.6,3638.35,1065.461,157.619,9.14,2.088
1715796600,62.4,82.0,976.684,60.486,24.8,24.8,5498.3099999999995,1607.126,244.582,24.079,5.74
1715797200,63.0,82.0,976.563,51.937,20.4,20.4,4619.717500000001,1345.0825,197.845,19.3365,5.0425
1715795400,63.0,82.0,976.864,73.734,33.7,33.7,7054.332,2078.868,360.787,44.499,12.04
1714840800,62.6,82.0,975.634,66.154,8.8,8.8,2133.47,609.248,80.03999999999999,7.947,3.572
1715550600,64.0,82.0,975.35,59.726,39.2,39.2,8256.118999999999,2430.879,406.122,42.233,11.106
1715629800,64.0,82.0,975.42,58.944,42.6,42.6,7866.884,2345.4,529.6410000000001,86.986,34.608000000000004
1715631600,63.0,82.0,975.298,54.948,49.1,49.1,8889.635,2657.0420000000004,616.543,99.529,36.323
1715295600,64.0,82.0,976.278,98.682,99.7,99.7,20555.322,6088.514,1042.435,101.076,23.14
1716057600,64.0,82.0,974.694,145.302,12.7,12.7,3071.063,885.588,117.276,13.163,4.252000000000001
1716151800,63.0,82.0,973.832,83.144,15.5,15.5,3276.656,957.069,172.477,27.504,10.659
1713216600,67.8,82.0,975.944,56.128,11.1,11.1,2700.8770000000004,778.595,95.563,6.246,2.014
1712875800,70.75,82.0,975.445,109.578,38.8,38.8,8035.306500000001,2357.526,405.4465,38.885,9.429
1713472800,67.0,82.0,973.5,51.588,2.4,2.4,655.444,188.11,18.72,2.004,0.977
1716313800,62.2,82.0,975.076,53.556,14.8,14.8,3273.2659999999996,954.995,139.274,8.651,3.492
1716331800,63.0,82.0,975.49,70.628,59.8,59.8,12197.587,3593.285,653.4459999999999,80.164,22.418
1716312600,62.4,82.0,975.238,61.402,17.0,17.0,3613.455,1063.086,176.061,19.882,6.625
1716669600,63.2,82.0,976.278,60.28,8.3,8.3,2115.959,611.783,69.136,5.784,2.457
1712952000,70.0,82.0,974.4,56.7,4.6,4.6,1067.625,311.644,40.216,1.961,0.7789999999999999
